입력데이터,카테고리,메뉴,감성,정확도,긍부정이유,추천답변
배달 요금이 조금 부담스럽지만 종류도 깔끔하나 좋네요 ㅎ,배달,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,맛있게 드셔주셔서 정말 감사합니다! 보내주신 응원에 힘입어 오늘도 최선을 다해 조리하겠습니다. 즐거운 하루 되세요!
요기패스 할인하는거 한번도 사용안하고 취소하고 다시결제해서 쓰려는 사람은 되게해줘야 되는거 아닙니까?ㅋ진짜 사용을 1번도안하고 한번 결제한거 취소했다고 그 이후 요기패스 할인 안되는거보고 정뚝떨어져서 안씁니다.아니 그러면 해지하기전에 재결제할시 첫결제 할인혜택을 못받을수있다고 고지라도 해주던가요.기껏 패스결제했더니 첫결제 요기패스 할인혜택 적용도 안되는데 결제할 마음이 생기겠습니까?에휴,일반,기타,애매,99.4%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
편하게 잘 쓰고 있어요. 큰 문제도 아직 없었어요,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
서버 행사때마다 터지는건 일상이고 몇분 후에 온다는 카톡안내메세지도 왔는데 매장에는 주문이안들어왔다고 하더라고요 두시간 반 기다렸는데 취소라도 제때해주셔야하는거 아닌가요? 제발 서버좀 고치세요,"맛, 배달",기타,부정,99.4%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","고객님의 귀한 의견 감사히 받겠습니다. 맛, 배달 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다."
간편히보기좋고 주문하기도 좋고 잘쓰고있어요~!,맛,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
요기요 로그인할때 갤럭시핸드폰에서도 애플아이디로 로그인하기도 추가해주셨으면합니다 아이폰8 에서 s21 로 넘어왔는데 로그인을 할수가없어서 주문할때마다 아이폰 들고와야되네요 ㅠ 애플아이디 로그인 추가만들어주셨으면합니다,일반,기타,애매,87.0%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
요기요 배민 배달통 다 쓰레기 쿠팡 배달 개빠르고 친절하고 가격도 착하고. 비빌데 비벼야지. 최강배달앱이시다. (자정지나면 못 쓰는건 흠이지만 어쩔수 없지),"배달, 가격/양",기타,긍정,99.6%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,"고객님, 소중한 리뷰와 칭찬 감사드립니다! 보내주신 성원에 보답하기 위해 앞으로도 변함없는 맛과 서비스로 모시겠습니다."
배× 왜 사용했는지 모르겠네,일반,기타,애매,98.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
양이 턱없이 조금이에요,가격/양,기타,부정,99.4%,분석 결과 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,안녕하세요 사장님입니다. 가격/양 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다.
배달예정시간 기다리는데 계속 지연되는 배달시간 이제 더는 못참겠다 지운다 배달앱이 이것만 있는것도 아니고,"맛, 배달",기타,부정,99.5%,분석 결과 맛 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,안녕하세요 사장님입니다. 맛 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다.
글도 아까워서 5마디로 설명할께요. 쓰.레.기.업.체,일반,기타,애매,98.9%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
와 소름 돋았어요. 이 가격에 이 퀄리티라니. 친구들 다 데려올게요.,가격/양,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,맛있게 드셔주셔서 정말 감사합니다! 보내주신 응원에 힘입어 오늘도 최선을 다해 조리하겠습니다. 즐거운 하루 되세요!
"오랫동안 요기패스 사용했는데 정떨어져서 끊는이유 1. 음식가격 장난질 : 실제 오프라인 매장 판매가격과 요기요앱 시현되는 가격의 차이(요기요가 몇천원 더 비쌈, 당연히 배달비는 제외하고) 2. 쿠폰가격 부풀리기 장난질 : 마치 5천원 ~ 8, 9천원 이상 통크게 할인해주는 것처럼 보이는 배너를 여기저기 띄워놓았으나 실제 쿠폰적용해서 주문하려고 보면, 쿠폰은 2천원 할인이고 요기패스 유료구매한 케이스의 할인을 덧붙여서 마치 쿠폰하나 적용만으로 통크게 할인해주는 것처럼 착시를 일으킴 3. 요기패스 혜택 장난질 : 요기패스를 유료가입하면 엄청난 혜택이 따라오는 것처럼 광고하나 실제 결제하려고 해보면 다른쿠폰과 중복적용이 안됨(유료가입 안하고 그냥 쿠폰적용해서 사먹는 일반회원과 똑같음;) 4. 야금야금 이상한 제한걸고 혜택 줄이기 장난질 : 무제한 포장할인, 요마트 이런거 주문해보면 금액요건을 충족해도 해당상품이 주류라고 가격산정에서 제외됨.이건 최근장난질","맛, 배달, 가격/양",기타,부정,98.8%,"분석 결과 맛, 배달, 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","고객님의 귀한 의견 감사히 받겠습니다. 맛, 배달, 가격/양 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다."
점검이면 언제까지 점검인지 알려야지 그냥 점검이라고만하면 사용을 하라는건지 말라는건지 요기패스 괜히 결재했네,일반,기타,애매,99.4%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
"자주 사용하고 있는데요, 어느 날 음식점에서 음식과 콜라를 주문했는데 콜라가 누락되어 왔습니다. 그래서 쿠팡이츠에 누락음식 관련해서 환불이 있더라고요. 콜라를 환불받았는데 2000원인 콜라값이 왜 1912원만 환불처리가 된거냐 상담사에 물어보니 매장자체에서 와우회원 1000원 할인이 들어가 전채음식값에서 천원어치 지분이 빠져서 그렇다네요 나머지민 '소액' 88원 을 쿠폰으로 환불드릴까요? 라는데 받고싶겠습니까? 왜 가게에서 실수한걸 쿠팡에서 다른말로 변명하고 피해는 제가 받아야하는지 모르겠네요 자주써왔지만 진짜 실망입니다",맛,기타,부정,98.7%,"분석 결과 맛, 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","불편을 드려 대단히 죄송합니다. 지적해주신 맛, 가격/양 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다."
"환불까지 너무 오래걸리네요. 배달하기 어려운 아파트도 아니고 주소도 상세히 써놨는데 라이더 배달착오인지, 먹고 튄건지 확실히 구분도 안되는 상태에서 배달 완료라고만 뜨고 배달은 1시간 다되도록 못받고 가게는 배민으로 책임을 넘기고 배민은 고객센터 연결 제대로 되서 환불받기까지 같은 시간동안 걸렸습니다. 정말 최고의 서비스 경험이었습니다. 두 번 다신 배민 안쓰겠습니다. 배달을 못받은게 짜증난게 아니고, 서비스 처리가 거지같아서 짜증났습니다. 역시 대한민국 일등 배달 앱이네요.","맛, 배달",기타,부정,99.5%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,안녕하세요 사장님입니다. 배달 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다.
카카오톡 기프티콘을 바로 입력해서 어플에서 주문할수있게 되면 좋을거같아요 ㅠ,일반,기타,애매,99.7%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
"리뷰삭제가 너무 심합니다 별점도 4점이상 주고 최대한 객관적으로 평을 남기는데 '짜다, 달다, 질기다, 퍽퍽하다'와 같은 조금이라도 부정적인 말이 있으면 다 삭제가 되네요 비난도 아니고 결론적으로는 맛있다고 꼭 쓰는데 왜 삭제가 되는건가요? 리뷰조작때문인지 리뷰이벤트 하는 곳도 없고 음식가격도 타사어플보다 비싸고 아쉽네요","맛, 가격/양",기타,부정,98.1%,분석 결과 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,안녕하세요 사장님입니다. 가격/양 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다.
맛도 좋고 군만두 서비스까지~^ 배달도 빨리 왔어요~,"맛, 배달",기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
음식의 양이 심각하게 없어요ㅠㅠㅠ,"맛, 가격/양",기타,부정,99.5%,"분석 결과 맛, 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","불편을 드려 대단히 죄송합니다. 지적해주신 맛, 가격/양 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다."
이벤트하고 욕먹기 딱좋. 50프로 이벤트 프랜차잊 많이 빠지고 그나마 남은 프랜차이즈는 동네에서 그 쿠폰 못쓰게 요기요에서 잠시 내려가있고 ㅋ 다른 어플로 켜보니 정상영업중이고 ㅋ 진짜 해주고 욕먹기 딱좋네요,일반,기타,애매,71.7%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
한달에 한 번 꼴로 오배달되는 것 같은데 보상도 없고 접수까지 20분 이상 걸릴 때도 많고 주문해놨더니 일방적으로 취소당하는 일도 너무 잦네요^ . 익스프레스라더니 접수시간 합쳐서 거의 1시간 걸려 온 경우도 많고요 주문불가업체는 확실히 표기하고 배달원분들은 좀더 본인맡으신일 신경쓰셔서 해주셨으면 좋겠습니다,"맛, 배달",기타,부정,99.1%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","불편을 드려 대단히 죄송합니다. 지적해주신 맛, 배달 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다."
